Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n0,n0,Best,114,415.0,4.0,0.4774145616641902,0.0017643582916038955,0.0015212848,0.0015212848,15,0.001576216881153588,0,0.2440614811364695,1572,0.22915572178402163
n1,n1,Movie,167,512.0,4.0,0.48549410698096107,0.006745136709387099,0.0022223985,0.0022223985,15,0.0021624962350817816,0,0.1566986508909891,2172,0.27277929152670805
n2,n2,Year,4,17.0,5.0,0.3461911431957763,1.1529297226546217E-7,6.614281E-5,6.614281E-5,15,1.0423721100608012E-4,0,0.6666666666666666,4,0.009948661099141382
n3,n3,gripping,90,212.0,5.0,0.4593937660852159,0.0014097887372042108,0.0012037993,0.0012037993,0,8.628738250738735E-4,0,0.25443196004993757,1019,0.1807761006392581
n4,n4,movie,1181,5756.0,4.0,0.6074872376630743,0.16950295267310644,0.015636161,0.015636161,0,0.023390697326060618,0,0.027951032592316193,19476,1.0
n5,n5,purely,7,14.0,5.0,0.3889359641689868,0.0,1.05828505E-4,1.05828505E-4,0,1.0053103418769917E-4,0,1.0,21,0.01981282968516685
n6,n6,production,9,20.0,5.0,0.3906382978723404,1.0515912909944728E-6,1.3228563E-4,1.3228563E-4,0,1.2389570826333302E-4,0,0.7777777777777778,28,0.023906909657242684
n7,n7,film,521,1729.0,4.0,0.532129844319311,0.0375564602412425,0.00690531,0.00690531,1,0.0069706068065515095,0,0.07371917909345932,9986,0.6292595379406235
n8,n8,making,39,86.0,5.0,0.4236550632911392,4.0338302612796486E-4,5.291425E-4,5.291425E-4,3,4.0354039036386756E-4,0,0.2968960863697706,220,0.07675038969030741
n9,n9,course,28,68.0,5.0,0.4265232974910394,6.870386620314833E-5,3.8362833E-4,3.8362833E-4,0,3.032544639707259E-4,0,0.5052910052910053,191,0.07716637471945272
n10,n10,stellar,44,106.0,4.0,0.4401972872996301,3.361638530664695E-4,5.952853E-4,5.952853E-4,15,4.7016225277589374E-4,0,0.3678646934460888,348,0.10319798415785396
n11,n11,Just,523,2984.0,4.0,0.534965034965035,0.03918570583303498,0.006931767,0.006931767,4,0.010117949363654694,0,0.07379324996520223,10073,0.637369256998081
n12,n12,maybe,58,153.0,5.0,0.45568004538363355,5.550859883657511E-4,7.804852E-4,7.804852E-4,0,6.320273758771989E-4,0,0.3914095583787054,647,0.14826132853731386
n13,n13,life,121,408.0,4.0,0.4737540548510764,0.004916965540147092,0.0016138847,0.0016138847,8,0.0016654213972819671,0,0.19421487603305784,1410,0.21710621227960708
n14,n14,Go,198,577.0,4.0,0.49226290792094374,0.004241439124038595,0.002632484,0.002632484,2,0.0022168711015584995,0,0.19125262780085114,3730,0.36180103904348776
n15,n15,see,710,2924.0,4.0,0.5538700224099293,0.05817602031678003,0.009405509,0.009405509,2,0.011548049050089345,0,0.054132978406404575,13625,0.7706824176037135
n16,n16,amazing,430,1664.0,4.0,0.5247427731504165,0.0210923172611379,0.0057015107,0.0057015107,0,0.006347245259054966,0,0.09621076597820784,8874,0.5876463638915168
n17,n17,God,50,125.0,5.0,0.44489061201883134,3.914784913689273E-4,6.746567E-4,6.746567E-4,0,5.260187931010843E-4,0,0.3706122448979592,454,0.12053281693658184
n18,n18,bless,9,27.0,5.0,0.40242985971943884,0.0,1.3228563E-4,1.3228563E-4,0,1.3685894234722346E-4,0,1.0,36,0.03698897097457378
n19,n19,America,96,259.0,5.0,0.4553571428571428,0.0016038564949470606,0.0012831707,0.0012831707,0,0.0010524138760264726,0,0.20592105263157895,939,0.16652470290922453
n20,n20,know,227,591.0,4.0,0.4943076923076923,0.007762514134472248,0.0030161124,0.0030161124,0,0.00240938983232683,0,0.14389302561303652,3691,0.3578816770004665
n21,n21,gravity,85,197.0,5.0,0.45330135440180586,9.91908791474884E-4,0.0011376564,0.0011376564,0,8.019774265617106E-4,0,0.23445378151260504,837,0.16248136308592676
n22,n22,right,142,365.0,5.0,0.48005378753922007,0.0024495477584728286,0.0018916845,0.0018916845,0,0.001421284713912523,0,0.22125661772050745,2215,0.2763596039930337
n23,n23,now,303,1255.0,4.0,0.5094339622641509,0.0152713547093021,0.004021483,0.004021483,4,0.00467810346226689,0,0.1124516425152449,5145,0.4319113304682072
n24,n24,phenomenal,105,327.0,5.0,0.47473404255319146,0.0011915163918754035,0.0014022277,0.0014022277,0,0.0012550779507673076,0,0.308974358974359,1687,0.2448445407555736
n25,n25,def,31,64.0,5.0,0.43507109004739336,2.336081028534993E-5,4.2331402E-4,4.2331402E-4,0,2.671637974303991E-4,0,0.5935483870967742,276,0.09570865597628728
n26,n26,worth,142,382.0,5.0,0.4815647482014388,0.0027136689979667125,0.0018916845,0.0018916845,0,0.0014634470422366173,0,0.23594046548796324,2362,0.28476392066821843
n27,n27,seeing,163,584.0,4.0,0.48520084566596194,0.004602494730236097,0.0021694843,0.0021694843,8,0.002232244774971149,0,0.1911686737862607,2524,0.29380464227429537
n28,n28,Foothill,8,16.0,5.0,0.3659870144663401,0.0,1.1905707E-4,1.1905707E-4,9,1.3016018924276698E-4,0,1.0,28,0.018646308987638385
n29,n29,Ranch,8,16.0,5.0,0.3659870144663401,0.0,1.1905707E-4,1.1905707E-4,9,1.30160189242767E-4,0,1.0,28,0.018646308987638385
n30,n30,CA,9,18.0,5.0,0.3666552550496405,2.407717213355442E-5,1.3228563E-4,1.3228563E-4,9,1.470631782341642E-4,0,0.7777777777777778,28,0.01878760562894201
n31,n31,starring,37,87.0,5.0,0.4373808875578546,2.8728354735908974E-4,5.026854E-4,5.026854E-4,9,3.952850102355107E-4,0,0.3483483483483483,232,0.0844435945740367
n32,n32,Tom,849,4432.0,4.0,0.5681697612732095,0.06738354295352622,0.011244278,0.011244278,9,0.01657327319141739,0,0.04260839611529658,15338,0.855061595376339
n33,n33,Hanks,856,4483.0,4.0,0.569277108433735,0.07133579688901219,0.011336879,0.011336879,9,0.016848431770559336,0,0.04165436956878177,15243,0.8534731071258985
n34,n34,band,8,16.0,5.0,0.3659870144663401,0.0,1.1905707E-4,1.1905707E-4,9,1.3016018924276698E-4,0,1.0,28,0.018646308987638385
n35,n35,nonDisney,8,16.0,5.0,0.3659870144663401,0.0,1.1905707E-4,1.1905707E-4,9,1.30160189242767E-4,0,1.0,28,0.018646308987638385
n36,n36,pirates,42,91.0,5.0,0.42720382927802153,3.107871683795704E-4,5.688282E-4,5.688282E-4,9,4.3317168768439694E-4,0,0.3159117305458769,272,0.08479849290622607
n37,n37,Going,61,145.0,5.0,0.4364896073903002,0.001220467803099133,8.201709E-4,8.201709E-4,2,6.545119751918595E-4,0,0.22950819672131148,420,0.09989017443469725
n38,n38,cant,17,35.0,5.0,0.3619466035822913,4.622906250851729E-5,2.3811414E-4,2.3811414E-4,4,1.8574905573050888E-4,0,0.47058823529411764,64,0.020373904464376265
n39,n39,watch,265,746.0,5.0,0.504,0.012946653357095758,0.0035187977,0.0035187977,0,0.0031180545128445375,0,0.12561463693539165,4394,0.39832346104407507
n40,n40,Have,56,134.0,5.0,0.449119373776908,8.655025341783455E-4,7.540281E-4,7.540281E-4,1,5.811205253556933E-4,0,0.36168831168831167,557,0.134292182577905
n41,n41,seen,80,220.0,5.0,0.4609756097560976,9.8896678988868E-4,0.0010715136,0.0010715136,3,8.607424346465175E-4,0,0.3050632911392405,964,0.17918218694875301
n42,n42,yet,147,458.0,4.0,0.4829400270554637,0.004333405334868646,0.0019578272,0.0019578272,1,0.0018256114578730752,0,0.191408070077346,2054,0.26418930426751885
n43,n43,Here,21,47.0,5.0,0.3858995916406438,7.729638863545978E-5,2.9102838E-4,2.9102838E-4,7,2.347867196969076E-4,0,0.4142857142857143,87,0.04318031596697161
n44,n44,article,15,32.0,5.0,0.3937982595906361,8.048624229308016E-5,2.1165701E-4,2.1165701E-4,1,2.028011666956343E-4,0,0.4666666666666667,49,0.02787044583971812
n45,n45,real,142,406.0,5.0,0.4751552795031056,0.003639385332454414,0.0018916845,0.0018916845,0,0.001640726489680432,0,0.17540705224253322,1756,0.2361674131336242
n46,n46,Saw,317,1002.0,4.0,0.5121951219512195,0.015470078190542564,0.004206683,0.004206683,0,0.003967228277279533,0,0.12470550652877052,6246,0.47524012130345145
n47,n47,Fri,8,24.0,5.0,0.34678899082568804,0.0,1.1905707E-4,1.1905707E-4,10,1.645275669254758E-4,0,1.0,28,0.009202600730612609
n48,n48,somewhat,8,24.0,5.0,0.34678899082568804,0.0,1.1905707E-4,1.1905707E-4,10,1.645275669254758E-4,0,1.0,28,0.009202600730612609
n49,n49,similar,8,24.0,5.0,0.34678899082568804,0.0,1.1905707E-4,1.1905707E-4,10,1.645275669254758E-4,0,1.0,28,0.00920260073061261
n50,n50,Hostage,8,24.0,5.0,0.34678899082568804,0.0,1.1905707E-4,1.1905707E-4,10,1.645275669254758E-4,0,1.0,28,0.00920260073061261
n51,n51,ransom,16,41.0,5.0,0.36403806934058464,4.6604144894812826E-5,2.2488557E-4,2.2488557E-4,10,2.4072686144729368E-4,0,0.5416666666666666,65,0.02065517467530766
n52,n52,end,216,626.0,4.0,0.4927158411286612,0.007792806090388854,0.002870598,0.002870598,0,0.0024936598340058215,0,0.15551248923341945,3611,0.3572112737929098
n53,n53,game,56,121.0,5.0,0.41786968396410457,0.0013821240662096471,7.540281E-4,7.540281E-4,10,6.243231024658615E-4,0,0.20064935064935066,309,0.0757432461703141
n54,n54,panic,8,24.0,5.0,0.34678899082568804,0.0,1.1905707E-4,1.1905707E-4,10,1.6452756692547578E-4,0,1.0,28,0.00920260073061261
n55,n55,tears,28,59.0,5.0,0.3984375,1.4417283725390748E-4,3.8362833E-4,3.8362833E-4,9,2.6515534358966734E-4,0,0.42857142857142855,162,0.059939117981393696
n56,n56,yep,7,14.0,5.0,0.3602825745682888,8.949570071515628E-6,1.05828505E-4,1.05828505E-4,10,1.078318605703813E-4,0,0.5714285714285714,12,0.01557694830631381
n57,n57,only,115,278.0,5.0,0.4612403100775194,0.002794135487299905,0.0015345133,0.0015345133,2,0.0012019975292570661,0,0.1908466819221968,1251,0.2006545734186765
n58,n58,good,468,1706.0,4.0,0.5279329608938548,0.026617297785974277,0.0062041963,0.0062041963,0,0.00675458669223197,0,0.08576291659803437,9372,0.6096581978581638
n59,n59,far,114,339.0,4.0,0.47805386103258446,0.0017713171235928487,0.0015212848,0.0015212848,0,0.0013352491675735533,0,0.2696786213320913,1737,0.24832926488522628
n60,n60,obviously,17,36.0,5.0,0.36982044198895025,3.2556257449683484E-5,2.3811414E-4,2.3811414E-4,3,1.9033658193392324E-4,0,0.5147058823529411,70,0.030650564070246692
n61,n61,brilliant,174,461.0,5.0,0.48615524285065825,0.004572285460363877,0.0023149985,0.0023149985,3,0.0017765530178291667,0,0.19188093814364493,2888,0.3138853952863314
n62,n62,Somali,282,770.0,4.0,0.5027382256297919,0.01851467270683662,0.0037436835,0.0037436835,7,0.003385138306601431,0,0.10469195628580803,4148,0.38327066746710053
n63,n63,unreal,38,84.0,5.0,0.42828579045587845,3.1864017630915556E-4,5.1591394E-4,5.1591394E-4,3,3.794898380570795E-4,0,0.3883357041251778,273,0.09269116102742712
n64,n64,The,221,537.0,4.0,0.4931696085955487,0.007872202195522239,0.002936741,0.002936741,3,0.0021792797687486738,0,0.13796791443850268,3354,0.3339888885626917
n65,n65,power,23,57.0,5.0,0.40532357764601995,4.0622320476076176E-5,3.174855E-4,3.174855E-4,0,2.6013609863953985E-4,0,0.4901185770750988,124,0.04612076245516809
n66,n66,play,80,198.0,4.0,0.45464836564313005,5.442344035118368E-4,0.0010715136,0.0010715136,3,7.622024516386942E-4,0,0.28639240506329117,905,0.16396699925141242
