Source,Target,Type,Id,Label,Weight
n0,n7,Undirected,41895,,4.0
n0,n10,Undirected,52573,,2.0
n0,n21,Undirected,49547,,4.0
n0,n22,Undirected,49548,,4.0
n0,n29,Undirected,52666,,2.0
n0,n30,Undirected,48199,,2.0
n0,n40,Undirected,37015,,3.0
n0,n52,Undirected,39153,,7.0
n0,n54,Undirected,37044,,4.0
n0,n73,Undirected,38483,,18.0
n0,n75,Undirected,50904,,4.0
n0,n81,Undirected,49549,,2.0
n0,n87,Undirected,37053,,3.0
n0,n91,Undirected,39150,,3.0
n0,n93,Undirected,37032,,2.0
n0,n113,Undirected,38583,,2.0
n0,n116,Undirected,39149,,5.0
n0,n117,Undirected,37059,,4.0
n0,n121,Undirected,42530,,4.0
n0,n124,Undirected,52658,,2.0
n0,n126,Undirected,48528,,2.0
n0,n133,Undirected,51619,,3.0
n0,n140,Undirected,43539,,3.0
n0,n157,Undirected,57344,,2.0
n0,n159,Undirected,51618,,2.0
n0,n161,Undirected,52593,,4.0
n0,n168,Undirected,43542,,3.0
n0,n172,Undirected,51802,,2.0
n0,n173,Undirected,38585,,3.0
n0,n177,Undirected,53253,,2.0
n0,n182,Undirected,43537,,3.0
n0,n184,Undirected,48200,,4.0
n0,n188,Undirected,43538,,3.0
n0,n202,Undirected,37024,,2.0
n0,n203,Undirected,37039,,2.0
n0,n204,Undirected,37049,,2.0
n0,n205,Undirected,37056,,2.0
n0,n206,Undirected,37058,,2.0
n0,n232,Undirected,57347,,2.0
n0,n234,Undirected,55182,,2.0
n0,n238,Undirected,47624,,8.0
n0,n296,Undirected,50764,,2.0
n0,n316,Undirected,53254,,2.0
n0,n320,Undirected,50244,,2.0
n0,n364,Undirected,38003,,2.0
n0,n373,Undirected,52571,,2.0
n0,n374,Undirected,39151,,3.0
n0,n384,Undirected,52673,,2.0
n0,n410,Undirected,52209,,2.0
n0,n447,Undirected,38587,,2.0
n0,n484,Undirected,41899,,2.0
n0,n488,Undirected,52569,,2.0
n0,n504,Undirected,52565,,2.0
n0,n523,Undirected,39152,,3.0
n0,n524,Undirected,47422,,4.0
n0,n525,Undirected,39176,,2.0
n0,n526,Undirected,39177,,2.0
n0,n527,Undirected,39178,,2.0
n0,n531,Undirected,50763,,2.0
n0,n550,Undirected,52670,,2.0
n0,n565,Undirected,52206,,2.0
n0,n573,Undirected,48197,,2.0
n0,n575,Undirected,39526,,2.0
n0,n598,Undirected,47626,,8.0
n0,n647,Undirected,52208,,2.0
n0,n708,Undirected,52808,,3.0
n0,n741,Undirected,57342,,2.0
n0,n742,Undirected,57343,,2.0
n0,n869,Undirected,52576,,2.0
n0,n871,Undirected,41903,,2.0
n0,n872,Undirected,41904,,2.0
n0,n873,Undirected,41905,,2.0
n0,n934,Undirected,42532,,2.0
n0,n954,Undirected,52207,,2.0
n0,n999,Undirected,48529,,2.0
n0,n1030,Undirected,43536,,3.0
n0,n1031,Undirected,43540,,3.0
n0,n1032,Undirected,43541,,3.0
n0,n1038,Undirected,43608,,2.0
n0,n1039,Undirected,43609,,2.0
n0,n1040,Undirected,43610,,2.0
n0,n1067,Undirected,57345,,2.0
n0,n1111,Undirected,52205,,2.0
n0,n1260,Undirected,57349,,2.0
n0,n1315,Undirected,49545,,2.0
n0,n1345,Undirected,50902,,2.0
n0,n1378,Undirected,48202,,2.0
n0,n1453,Undirected,52672,,2.0
n0,n1461,Undirected,47621,,8.0
n0,n1462,Undirected,47628,,8.0
n0,n1494,Undirected,50259,,3.0
n0,n1519,Undirected,48198,,2.0
n0,n1520,Undirected,48201,,2.0
n0,n1521,Undirected,48203,,2.0
n0,n1554,Undirected,48527,,2.0
n0,n1642,Undirected,49546,,2.0
n0,n1643,Undirected,49550,,2.0
n0,n1689,Undirected,51975,,2.0
n0,n1736,Undirected,57346,,2.0
n0,n1764,Undirected,50903,,2.0
n0,n1767,Undirected,54543,,2.0
n0,n1794,Undirected,51291,,2.0
n0,n1825,Undirected,51806,,2.0
n0,n1826,Undirected,51807,,2.0
n0,n1840,Undirected,51962,,2.0
n0,n1841,Undirected,51976,,2.0
n0,n1864,Undirected,52210,,2.0
n0,n1901,Undirected,52594,,3.0
n0,n1906,Undirected,52645,,2.0
n0,n1907,Undirected,52653,,2.0
n0,n1908,Undirected,52671,,2.0
