Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n0,n0,Tom,276,934.0,4.0,0.5341898052217158,0.06075911426039694,0,0.015013647948817196,0,0.07591567852437418,2881,0.8110434427213645
n1,n1,Hanks,271,904.0,4.0,0.5311083642356819,0.05810095134462596,0,0.01455925519395319,0,0.07500341670083367,2744,0.7886650904116765
n2,n2,know,55,127.0,4.0,0.449912739965096,0.004792673309676898,5,0.002282864340020807,0,0.2053872053872054,305,0.21097863581148796
n3,n3,real,61,127.0,4.0,0.44928546531892644,0.0069598173273184485,1,0.002333899519221414,0,0.22185792349726777,406,0.24419805710235193
n4,n4,reason,7,14.0,5.0,0.3601564682872311,0.0,0,3.40923199974382E-4,0,1.0,21,0.04319321094174534
n5,n5,piracy,7,14.0,5.0,0.3601564682872311,0.0,0,3.40923199974382E-4,0,1.0,21,0.04319321094174534
n6,n6,Somalian,33,67.0,4.0,0.3984544049459042,0.0019386242929503846,29,0.0013310652957680205,0,0.2727272727272727,144,0.10641287329429283
n7,n7,coast,18,36.0,4.0,0.3780058651026393,7.146870166865587E-4,13,7.453519427062826E-4,0,0.3333333333333333,51,0.06206519608242812
n8,n8,Amazing,42,107.0,4.0,0.4514886164623467,0.0024187510465972254,0,0.0018310872044852266,0,0.313588850174216,270,0.21747937171892592
n9,n9,film,227,616.0,4.0,0.5176706827309236,0.06478383179219104,0,0.010989072520767956,0,0.08549374293399867,2193,0.6695522345292224
n10,n10,awesome,97,259.0,4.0,0.4788261515601784,0.011894607180175149,1,0.004327294998863238,0,0.17633161512027493,821,0.37810975286400716
n11,n11,actor,81,267.0,4.0,0.4683866279069767,0.007751893278357081,0,0.004184788943082726,0,0.21851851851851853,708,0.3516997543369042
n12,n12,gripping,39,83.0,4.0,0.438883214164113,8.883469820000063E-4,0,0.0013716694792220388,0,0.41700404858299595,309,0.2180813023979639
n13,n13,x,21,55.0,4.0,0.4018079800498753,8.40835545732862E-5,0,9.134468416131368E-4,0,0.5571428571428572,117,0.13325647852634237
n14,n14,Not,62,138.0,4.0,0.4466389466389466,0.008322304715879593,11,0.0025784590967655994,0,0.18931782125859334,358,0.2127656573270956
n15,n15,stressful,12,25.0,4.0,0.3889559444779722,5.053750118396933E-4,8,5.822493769121113E-4,0,0.5606060606060606,37,0.05117823952286974
n16,n16,interviewing,2,4.0,5.0,0.3106772716317185,0.0,11,1.8541521618132574E-4,0,1.0,1,0.005271022957187973
n17,n17,Just,207,752.0,4.0,0.5170477336542318,0.05870428871209169,10,0.01159603126069686,0,0.08498663289714366,1812,0.6012793076140299
n18,n18,see,241,701.0,3.0,0.5263372805226623,0.07094980589129576,1,0.012366246363892159,0,0.07845781466113416,2269,0.6912523129902843
n19,n19,THE,10,20.0,4.0,0.3680753854940034,7.575702014914643E-4,18,5.803141908109603E-4,0,0.5555555555555556,25,0.034213983624156265
n20,n20,MAN,11,22.0,4.0,0.3623840314872083,0.005165627632626234,18,7.456946944671596E-4,0,0.5636363636363636,31,0.02854807171603809
n21,n21,super,17,35.0,4.0,0.4057286748504879,9.239016272218348E-5,1,6.636454429487738E-4,0,0.6838235294117647,93,0.10479152293547887
n22,n22,movie,445,1581.0,3.0,0.5888533576975788,0.22195652474170685,1,0.02766999471847235,0,0.039265107804433645,3879,1.0
n23,n23,Once,10,21.0,4.0,0.4016827672172016,1.3133021536196457E-5,0,4.238473224184617E-4,0,0.8444444444444444,38,0.08639444349160207
n24,n24,again,48,110.0,4.0,0.4508569429870584,0.0037702746431401714,1,0.0018953794563629418,0,0.29609929078014185,334,0.2372315854695748
n25,n25,brilliant,77,189.0,4.0,0.46500721500721504,0.005675000620350732,0,0.003069826863000767,0,0.2050580997949419,600,0.3245830930851387
