yellow,1,1
Heights,0,1
Larsen,1,0
Olympics,0,1
ocean.,1,0
hanging,1,0
LAST,1,0
Western,1,0
better.,12,2
Refreshing,0,1
bringing,1,1
writing.,1,0
prize,1,0
stars.,2,2
Paul,44,11
tired,1,0
pulse,1,0
second,23,6
Terrifying,1,0
thunder,1,0
sales.,1,0
butch,1,0
hero,10,6
Happening,1,0
here,32,29
Stephanie,1,0
shock.,5,0
Dominique,5,0
sitting.,0,1
Downfall,1,0
k,1,0
controversy,1,0
NOT,6,2
military,17,12
NOW,6,2
Stand,1,0
criticism,0,1
golden,0,2
projection,1,0
Three,2,0
brought,1,0
Basin,0,1
fame.,0,1
spoke,0,2
impartiality,1,0
cannibal,1,0
symphony,1,0
music,7,1
therefore,1,0
passport,0,1
strike,1,0
Diabetes,4,0
holy,7,3
relax,3,1
successful,5,2
hurt,1,0
glass,1,1
hole,0,3
hold,8,0
believable.,0,1
morally,1,0
pursue,1,1
Ending,3,0
example,2,1
beautifully,1,0
reviewing,6,2
want,56,25
that..,1,0
absolute,8,4
around.,2,2
LA,2,1
Attention,2,1
feature,10,0
Maritime,1,0
LI,1,0
hot,6,2
win.,0,1
hop,1,0
tension.,2,0
A,34,0
Charlie.,2,0
perfection.,2,1
wrong,12,8
fictional,3,0
baggage,1,0
Fabulous,1,0
Another,6,0
wine,1,2
restriction,1,0
feedback,0,1
His,15,2
Hit,1,0
screaming,0,1
fix,0,1
Vaguely,1,0
Candid,37,0
admirable,1,0
Him,0,1
glorify,1,0
Again..,1,0
HIGH,0,1
blink,0,1
silver,0,1
DECISION,0,2
debut,7,0
mini-date,2,0
Shame,1,0
Plot,1,0
message,1,0
Foreseeing,1,0
mason,0,1
re,2,1
Super,2,2
sellout,1,0
Work,1,1
enormous,0,1
ate,4,1
Horn,13,8
Chat,133,0
Please,10,3
wash,0,1
basketball,0,2
service,1,0
needed,0,1
master,5,0
Somalians..,1,0
easy.,1,0
sure.,1,0
listen,3,0
predictably,1,0
predictable,0,2
was.,4,5
Daddy,2,0
Beautiful,3,0
peril,0,2
coward,0,1
project,2,2
endure,0,1
feeling,12,0
recheck,1,0
old.,1,0
willingness,1,0
Chicago,0,3
untrained,1,0
well.,3,0
Angels,7,0
concede.,1,0
Ass,2,0
Then,5,7
Them,1,0
guys.,1,1
Britney,0,2
Bang,0,1
Historic,1,0
defiantly,2,0
They,8,7
What.,1,0
Buddies.,0,1
Wish,3,1
cinematic,5,0
mouth,2,1
long.,2,0
letter,1,0
AMAZING.,6,0
thriller,28,10
morality,1,0
episode,2,2
FACE,0,1
scream,0,3
FACT,1,0
saying,8,6
bomb,0,3
Union,1,0
soluble,1,0
ulcer,1,0
Paradise,1,0
recliner,0,1
busy,4,1
theme,2,1
MOVIE..,1,0
Tearing,1,0
Tricky,1,0
X,416,0
Prize,13,0
incredible.,32,3
Fascinating,1,0
nicely,0,1
patch,0,1
men-,0,1
release,7,1
them.,2,1
respond,1,0
blew,9,0
fair,1,2
unexpectedly,1,0
goodnight,1,0
FABULOUS,0,1
fail,1,2
John,1,1
best,15,3
STRESS,0,1
hunker,1,0
score,8,0
pirate,70,16
men,1,0
involved.,1,0
nature,1,0
smelled,1,0
seriously.,1,0
extent,1,0
roller,3,0
pity,1,2
country,8,6
Blessed,0,2
Stratford,1,0
lot.,2,0
logic,0,1
stealth.,0,1
Closer,0,1
excited.,1,0
doubt.,0,1
money.,1,0
2nd,3,0
Telegraph,3,0
retelling,1,0
Sorry,6,1
ass..,0,2
Sitting,4,2
curiosity,2,0
.,793,287
much,49,31
privilege,1,0
life,70,8
worker,1,0
wish,10,7
lift,0,1
chill,0,1
ASAP.,4,0
gritty,2,0
Both,1,0
Patrolling,0,1
said.,1,0
anxiety..,1,0
coastguard,0,2
Die,0,1
fairly,2,0
Maybe,5,11
Commons,1,0
Stunning,3,0
Living,2,0
tune,1,0
Thank,22,9
THAT,2,0
Dismayed,0,1
Happy,4,0
alum,2,0
ham,0,2
Oscar,201,39
topical,1,0
Surely,0,1
easy,4,0
prison,2,3
casually,2,0
quirk,0,1
survival,7,4
possible,6,2
Alamo,2,0
Notebook.,1,0
sleep-,1,0
massively,1,0
seaside,0,1
remind,1,2
POUNDING,1,1
right,60,11
old,9,3
people,1,0
Literally,6,5
crown,1,0
left.,1,0
comeuppance,0,1
Palms,1,0
contributing,0,1
Fest,2,0
thrillers.,1,0
Remy,1,0
shaker,0,1
Instant,2,0
forever.,1,0
dental,0,3
starring,9,7
losing,2,0
memorable,2,0
Think,6,1
First,15,4
o,1,2
despair,1,0
slightly,3,0
Use,1,0
sob,1,0
talent.,1,0
thankful,5,0
Aaron,1,0
tomorrow..,0,1
wrap,2,0
Hank,7,2
support,4,0
constantly,1,0
DEFINITE,1,0
Heart-pounding,1,0
Haunted,1,0
greatness,1,1
Hans,1,0
happy,16,1
Kept,9,1
so.,1,0
emotions.,1,0
counting.,0,1
Seeing,158,12
handily,1,0
inside,1,0
adrenaline.,1,0
WHY,0,1
Tons,1,0
Tony,4,0
wait.,1,0
proud,10,2
Variety,20,0
Six,2,1
Josh,2,0
Squad,0,1
exist,1,1
negotiations,1,0
floor,1,0
actor,251,39
Whoa,3,0
Possibly,3,0
role,31,3
smell,2,3
roll,5,1
Suspenseful.,1,0
rolling,1,1
Brought,0,1
time,211,78
Empire,1,2
infirmary.,1,0
consumed.,1,0
chain,1,0
whoever,0,1
gut-wrenching,1,0
Films,1,0
Indiana,3,1
chair,1,0
baller,1,0
Kicking,1,0
WEEK,4,0
Film.,1,1
theater.,10,2
minute,3,4
tear,13,3
leave,7,4
team,19,9
Alright.,1,0
Kevin,2,2
spiritual,1,0
Boy,0,1
prediction,0,1
sign,4,0
Failed,1,0
heavyweight,6,0
parachuting,1,0
saw.,0,1
True,8,2
Me,3,2
roles.,1,0
Emma,1,0
Mm,0,1
Mo,2,0
Mr,9,0
alone,10,8
along,1,0
Bow,1,0
My,41,4
we'll.,1,0
ME,6,0
MD,0,1
MA,2,0
brilliant,131,3
MN,4,0
wherever,1,0
MT,17,0
MY,5,2
Packed,4,0
REAL,6,3
love,107,20
prefer,1,0
bloody,3,1
marvelous,2,0
Enough,2,0
fake,0,1
Ecuador,1,0
working,3,0
homesick,1,0
angry,1,2
Resurgence,1,0
wondering,4,1
films,1,2
Inspiration.,1,0
wicked,0,1
Barely,1,0
refrain,0,1
everywhere,1,0
film.,156,9
Pays,1,0
originally,0,1
Pops,1,0
following,2,0
Our,5,1
interstate,1,0
Out,3,0
awesome,130,4
BAD,1,0
offense,0,1
stole,6,0
Happened,0,1
Who,3,1
Why,1,3
spot,3,5
date,100,8
such,115,29
assuming.,0,1
stress,4,0
wheelchair,1,0
Catching,1,0
so,189,114
Bedtime,0,1
Barney,0,1
unacceptable,0,1
damage,1,0
course,5,4
yearn,0,2
thumb,0,1
lackluster,0,1
did.,1,0
dead.,8,4
Sister,1,0
nation,33,0
year.,28,8
Webster,0,1
cried..,1,0
Amazed,1,1
fisherman,2,14
revere,0,1
Live,1,0
Exhilarating,3,0
Learned,0,1
giddy,1,0
container,0,2
Welcome,3,0
boundless,1,0
Joe,1,0
suggesting,1,0
Jon,0,1
THANK,0,1
siege,9,0
million,0,2
possibility,1,0
quite,8,0
alumni-spotting,0,1
training,1,0
Money,1,0
Devastatingly,1,0
massive,2,1
emotion,5,1
saving,1,0
anymore.,2,0
one,8,3
vote,1,1
open,3,2
ripping,1,0
Monday,5,2
Courtesy,7,0
Thoughts,1,0
on.,3,0
proving,2,0
much.,4,0
ridiculous,0,1
boyfriend,5,2
bit.,2,0
Wanted,2,0
iceberg,0,2
Ender,2,0
so-so,0,1
future,7,0
Suggest,1,1
argument,0,1
sad,9,8
say,66,32
buried,1,0
saw,6,4
sat,0,6
aside,0,1
note,11,1
Important,1,0
take,26,10
Half,1,0
wanting,2,1
ironically,1,0
opposite,4,1
knew,0,1
time..,1,0
afternoon.,1,0
Caption,2,0
knee,0,1
knowingly,1,0
armrest,0,2
Chew,1,0
average,0,2
Rubble,0,1
drive,1,0
something.,1,0
not.,1,0
walking,54,1
grilling,3,0
skiff.,1,0
Ethiopia,1,0
bright,2,0
TIMBERS,1,0
slow,4,2
Puffy,1,1
nutshell,1,0
tears,8,0
Leadership,3,0
hockey,0,1
teary,1,5
Thriller,1,0
usual.,2,0
psychiatrist,0,1
Having,2,1
borrow,0,2
punch.,1,0
where,0,1
crazy.,2,0
vision,1,0
Away.,1,1
award.,3,0
keyboard,0,3
job.,14,0
Enjoying,0,1
Worldwide,2,0
enlightening,1,0
That,21,6
alarming,1,0
bootleg,2,0
Tavern,1,0
affecting,4,0
Instructor,1,0
man.,4,2
esp.,2,0
anyway.,0,1
screen,183,8
Boca.,1,0
steroid,0,1
awards,2,1
puerile,0,1
many,67,6
Television.,0,1
Were,1,0
comeback,1,0
Factual,1,0
boat,5,11
west,0,1
vacation,1,0
breath,13,1
acting.,14,1
Princess,2,0
Whenever,1,0
former,4,0
RUN,1,1
Goodrich,1,0
fin,1,0
Cinema,24,3
Ouch,1,0
Commander,1,0
incredibly.,0,1
situation,1,2
endured,1,0
spotlight,2,0
canoe,0,2
DIE,3,0
Oscars.,2,0
edge.,2,0
Looking,5,5
blah,0,1
fame,1,0
Refer,1,0
it..,1,4
rooting,1,0
cost.,1,0
Blood,2,0
IR.,1,0
breakdown,1,0
sickness,6,4
I,156,50
Clear,0,1
Irish.,5,1
awesomeness,5,0
pacing,1,0
hubby,0,4
summer,3,0
being,30,14
Bosom,1,1
rest,6,6
Daniel,1,0
weekly,0,1
around,2,2
Aunt,1,0
darn,1,0
vacuum,1,0
world,27,4
Example,1,0
bravery,1,1
Share,3,0
Yourself,1,0
BONES,3,0
Sharp,1,0
Agreed,2,0
clap,0,5
auditorium,2,0
Brandon,1,0
Seriously,12,3
riveting,20,0
exit,0,1
23rd,0,1
refer,1,0
think.,1,0
waited.,1,0
biased,1,0
power,4,0
dissection,0,1
poise,2,0
leadership,2,0
throwback,1,0
avg.,1,0
Stunned,0,1
industry,3,0
favorite,59,8
He-he.,2,0
side,7,0
minimalistic.,0,1
act,7,3
mean,2,6
STRESSFUL,1,0
No,41,9
Away,0,2
Acting,25,3
apologize,0,1
portrayal,11,1
Unscripted,1,0
recommend.,3,0
ass.,2,2
NO,1,0
NZ,2,0
Mombasa,1,0
bubble,1,0
NW,2,0
complete,4,3
buying,0,1
pull,2,1
rush,3,0
rescuing,1,0
Primal,0,1
ruse,1,0
Close,1,0
agree,19,4
gone,2,3
deferent,0,1
ad,0,1
certain,1,2
am,28,28
Thursday,3,0
How,3,2
as,7,2
impeccable.,1,0
cream,0,1
Real,17,2
go-see,1,0
Chose,0,1
Read,13,4
novice,1,0
tight,1,1
Atlantic,1,0
Class..,0,1
Lady,1,0
Kidnapped,1,0
Gracious,0,1
passerby,1,0
Alex,1,0
vocabulary,0,1
walk.,1,0
seriousness,2,0
inaccuracy,0,1
accent.,0,1
Absorbing,1,0
sobbing,2,0
tricks,1,0
Direct,1,0
having,6,5
Street,1,0
Rush.,1,0
original,1,1
showing.,1,0
hunting,1,0
to,1,0
tail,0,1
chewing,1,2
th,2,0
paying,4,0
Gruesome,1,0
LOOK,2,0
large,1,0
small,1,2
rankings.,1,0
hour.,1,2
Should,2,3
past,13,7
pass,0,3
Join,9,0
trick,0,3
hormonal,0,1
Capt,9,1
section,0,1
nurse,0,1
contrast,2,0
full,11,5
hours,1,1
legend,19,3
YOUTH,2,0
Justine,0,2
brutal,3,0
prior,1,0
Cap.,1,0
social,1,2
action,13,18
pica,0,2
foundation.,2,0
traumatized,1,0
captor,0,1
parties.,0,1
Plates,0,2
gosh,2,0
select,1,0
attendance,1,0
implore,0,1
watch.,8,1
gorgeous,4,1
more,1,0
door,0,1
Ray.,1,0
company,39,0
Found,1,0
Spotlight,6,8
keeping,2,1
science,1,0
EXTRAORDINARY,1,0
mall,3,0
learn,7,3
male,6,1
Your,8,0
beautiful,12,0
accept,1,0
AMAZING,28,6
sense,0,1
huge,6,3
imminent,1,0
glowing,2,0
never.,0,1
plans,0,1
soundtrack,4,1
plane,0,1
Fandango,3,18
authentic,2,0
plank,2,0
docudrama.,1,0
volleyball,4,2
Brennan,2,0
idol.,1,0
paper,1,1
smiling,1,0
ruining,1,0
Anyhow,1,0
it.,46,11
Castaway,2,5
sucker,2,0
Michael,3,1
great.,12,3
BECAUSE,0,1
all.,2,2
nauseous,1,2
Quotes,2,0
Thanks,9,2
found,0,1
shocking,1,0
populist,0,1
operation,3,1
Ross,1,0
Picture,7,2
blacks,1,0
beats.,1,0
research,2,1
Dramatic,4,0
Report,4,1
darling,1,0
Class,4,2
highway,0,2
Drama,3,2
qualify,0,1
conditioning,0,2
imagine,2,3
definition,2,0
w,10,9
testament,1,0
Reluctant,1,0
major,0,1
terrifyingly,1,0
belligerent,1,0
Combs,1,0
number,4,2
events.,1,0
KEEPS,1,0
remember.,1,0
guess,1,9
guest,1,0
jet,0,1
Started,0,2
aver,1,0
hyperventilating,2,0
Currently,1,0
appreciation,1,0
Long,5,0
Skinny,1,1
grace,0,1
Often,0,1
masterclass,2,2
Cancel,1,0
head.,2,0
Click,2,2
Movie,171,30
beforehand,1,0
shaky-cam,1,0
Fool,1,0
Kyoto,1,0
moving..,1,0
freakishly,1,0
also,26,6
unreal.,2,0
Foot,1,0
CLASS,1,1
play,10,6
riveting.,2,1
swiftly,1,0
M,1,2
saved.,1,0
plan,2,2
honey.,1,0
funnier,1,0
offensively,0,1
sometimes,1,0
cover,0,1
Casual,0,1
dragged,0,1
Cloud,2,0
golf,0,1
gold,0,2
Deadly,0,1
Had,21,6
Hay,2,0
session,1,0
Has,4,0
occupation,1,0
impact,1,0
Premiere,2,0
Gym,1,0
writer,3,1
well-crafted,1,0
factor,0,1
alive.,2,0
Holy.,4,2
Code,7,0
weeks.,1,0
cruise.,2,0
frightening,1,0
Help,2,1
cry,43,19
Unheard,1,0
Held,3,0
-Navy,1,0
kill,5,7
Aircrew,1,0
set,3,0
For,7,3
Thor.,1,0
sex,1,0
